tissue	group
721_B_lymphoblasts	immune
Adipocyte	fat
AdrenalCortex	gland
Adrenalgland	gland
Amygdala	CNS
Appendix	gastroint
AtrioventricularNode	PNS
BDCA4+_DentriticCells	immune
Bonemarrow	immune
BronchialEpithelialCells	lung
CD105+_Endothelial	endothel
CD14+_Monocytes	myeloid
CD19+_BCells(neg._sel.)	lymphoid
CD33+_Myeloid	myeloid
CD34+	blood
CD4+_Tcells	lymphoid
CD56+_NKCells	immune
CD71+_EarlyErythroid	myeloid
CD8+_Tcells	lymphoid
CardiacMyocytes	muscle
Caudatenucleus	CNS
Cerebellum	CNS
CerebellumPeduncles	CNS
CiliaryGanglion	CNS
CingulateCortex	CNS
Colorectaladenocarcinoma	gastroint
DorsalRootGanglion	CNS
FetalThyroid	gland
Fetalbrain	CNS
Fetalliver	liver
Fetallung	lung
GlobusPallidus	CNS
Heart	muscle
Hypothalamus	CNS
Kidney	kidney
Leukemia_chronicMyelogenousK-562	leukemia
Leukemia_promyelocytic-HL-60	leukemia
Leukemialymphoblastic(MOLT-4)	leukemia
Liver	liver
Lung	lung
Lymphnode	lymphoid
Lymphoma_burkitts(Daudi)	leukemia
Lymphoma_burkitts(Raji)	leukemia
MedullaOblongata	CNS
OccipitalLobe	CNS
OlfactoryBulb	CNS
Ovary	ovary
Pancreas	pancreas
PancreaticIslet	pancreas
ParietalLobe	CNS
Pituitary	CNS
Placenta	placenta
Pons	CNS
PrefrontalCortex	CNS
Prostate	prostate
Salivarygland	gland
SkeletalMuscle	muscle
Skin	epithel
SmoothMuscle	muscle
Spinalcord	PNS
SubthalamicNucleus	CNS
SuperiorCervicalGanglion	CNS
TemporalLobe	CNS
Testis	testis
TestisGermCell	testis
TestisIntersitial	testis
TestisLeydigCell	testis
TestisSeminiferousTubule	testis
Thalamus	CNS
Thymus	gland
Thyroid	gland
Tongue	mouth
Tonsil	mouth
Trachea	lung
TrigeminalGanglion	CNS
Uterus	uterus
UterusCorpus	uterus
WholeBlood	CNS
Wholebrain	CNS
colon	gastroint
pineal_day	gland
pineal_night	gland
retina	CNS
small_intestine	gastroint
