"gene","within_sd","between_sd","mean"
"ACTR2",0.488158273913238,0.430323656627474,12.4409199467208
"ADAR",0.478314194122547,0.325362774002585,12.8208413352286
"ADD1",0.392050249296446,0.390592218126425,12.241004232565
"AP2M1",0.471291285079144,0.430679583559636,12.8806791426573
"APH1A",0.41503364404205,0.349916221344349,12.2036757352523
"ARF1",0.387947099708827,0.304869830582897,13.4345649682924
"ARF3",0.403557571047069,0.364452448663497,12.3919379328249
"DDX39B",0.414775150888187,0.413630011537773,12.3558109411464
"PRRC2A",0.472075730753627,0.422175820383795,12.6768890652961
"BAG6",0.382197494920188,0.345600579036,12.266818989944
"BRD2",0.417035929168414,0.247272767809968,12.3151846361797
"C1orf43",0.430556022742366,0.330746247509842,12.2042723702739
"CALM2",0.475296860379589,0.457124636087776,13.210771779246
"CALM3",0.492788950484161,0.427916027850697,12.5245714530436
"CAP1",0.462663068565562,0.434211157242823,12.6439305373428
"CAPRIN1",0.439074474060871,0.318919468136081,12.371168111583
"CAPZB",0.419302452640498,0.323252782600274,12.1845058171604
"CCT7",0.417243903577978,0.377772757384932,12.3235303215259
"CDC42",0.421638532933855,0.346181405619903,12.3284105757993
"CHD4",0.39644374660356,0.348593492220946,12.5128616863518
"CNBP",0.379164870862387,0.291188171435781,12.7746738168062
"COPA",0.466302783372899,0.279195447940752,12.4949063573073
"COPG1",0.434385428881598,0.411554109258495,12.1931578993609
"CSDE1",0.462234519136335,0.388192083969369,13.3535518318253
"CSNK1A1",0.426287524215381,0.369522636942347,12.2572531616845
"DAZAP2",0.415908500391086,0.41331199456377,12.5300177745884
"DDB1",0.376976909443824,0.317157091625148,12.5324454580352
"DDOST",0.444883662144682,0.409019060469494,12.4486652128678
"DDX17",0.439586499887773,0.328919288733571,12.9968189033724
"DDX5",0.417094737908107,0.290162914791963,13.3722977781914
"DYNC1H1",0.48621067229991,0.419471882411144,13.0364671394563
"EIF1",0.451486306607392,0.271504819542645,13.470898922758
"EIF2AK1",0.395549379249408,0.32754765300552,12.0135477588783
"EIF2S3",0.485144608477347,0.436508190510862,12.131812627355
"EIF3D",0.465252648852143,0.420138934092946,12.1206353272716
"EIF4G1",0.477204599357081,0.412357428583303,13.1282413367399
"EIF4G2",0.446347045213504,0.32263588235482,14.027621790464
"EIF4H",0.360776398481982,0.160649935989654,12.2452167318663
"EWSR1",0.34129500594709,0.341049951341219,12.1190242942591
"FAM120A",0.415717228446659,0.401607797092105,12.0477539202813
"FUS",0.465114598036669,0.486365129215992,12.2415318953755
"GANAB",0.420002645472101,0.30074413670411,13.2167134426041
"GDI2",0.446588163785062,0.33583949113709,12.3607659564171
"GLG1",0.470574867270151,0.333477614907885,12.1519628931395
"GNB1",0.381639744189773,0.25748580048715,12.9407222560366
"GTF2IP1",0.484493022790949,0.463191197857065,12.4596411055026
"H3-3B",0.482039635079732,0.370885820043439,13.56628172311
"HADHA",0.387056687362497,0.373303453912288,12.2554758967126
"HDLBP",0.457525719152275,0.429098797972035,13.5471630965061
"HMGB1",0.49059404957269,0.428580938649374,12.4238052574154
"HNRNPA1",0.494499698919937,0.488634236266525,12.6648115598083
"HNRNPA2B1",0.366816376769369,0.310342420343336,13.8013533291061
"HNRNPA3",0.390908472284936,0.387133186121298,12.3001396234243
"HNRNPC",0.332639578659552,0.342476528829033,13.1811511751817
"HNRNPF",0.418119883208786,0.450156270308889,12.1073032182155
"HNRNPH1",0.45904710930129,0.425417956977639,12.0089909630908
